bin,lo,hi,count,confidence,accuracy,gap,device,precision,variant
8,0.8,0.9,19,0.8378051613506518,1.0,0.16219483864934825,jetson,fp16,featureKD
9,0.9,1.0,3,0.9101028442382812,0.6666666666666666,0.24343617757161462,jetson,fp16,featureKD
0,0.0,0.1,87,0.07940647327180567,0.011494252873563218,0.06791222039824245,jetson,fp16,featureHardKD
1,0.1,0.2,516,0.152490366437985,0.08333333333333333,0.06915703310465167,jetson,fp16,featureHardKD
2,0.2,0.30000000000000004,359,0.24371460818978738,0.3286908077994429,0.0849761996096555,jetson,fp16,featureHardKD
3,0.30000000000000004,0.4,136,0.33606241884477,0.5220588235294118,0.1859964046846418,jetson,fp16,featureHardKD
4,0.4,0.5,51,0.44784530821968527,0.7843137254901961,0.3364684172705108,jetson,fp16,featureHardKD
5,0.5,0.6000000000000001,17,0.5366951507680556,0.9411764705882353,0.40448131982017965,jetson,fp16,featureHardKD
6,0.6000000000000001,0.7000000000000001,4,0.6195529103279114,1.0,0.3804470896720886,jetson,fp16,featureHardKD
7,0.7000000000000001,0.8,0,,,,jetson,fp16,featureHardKD
8,0.8,0.9,0,,,,jetson,fp16,featureHardKD
9,0.9,1.0,0,,,,jetson,fp16,featureHardKD
0,0.0,0.1,3,0.08876851697762807,0.0,0.08876851697762807,jetson,int8,baseline
1,0.1,0.2,395,0.1679984749683851,0.09620253164556962,0.07179594332281548,jetson,int8,baseline
2,0.2,0.30000000000000004,567,0.24143443242162202,0.2716049382716049,0.030170505849982904,jetson,int8,baseline
3,0.30000000000000004,0.4,149,0.33898163421842076,0.4429530201342282,0.10397138591580746,jetson,int8,baseline
4,0.4,0.5,52,0.44005394268494386,0.5961538461538461,0.1560999034689023,jetson,int8,baseline
5,0.5,0.6000000000000001,4,0.5227071046829224,1.0,0.47729289531707764,jetson,int8,baseline
6,0.6000000000000001,0.7000000000000001,0,,,,jetson,int8,baseline
7,0.7000000000000001,0.8,0,,,,jetson,int8,baseline
8,0.8,0.9,0,,,,jetson,int8,baseline
9,0.9,1.0,0,,,,jetson,int8,baseline
0,0.0,0.1,110,0.0681629675525156,0.03636363636363636,0.03179933118887923,jetson,int8,logitKD
1,0.1,0.2,241,0.1533043851372612,0.08298755186721991,0.07031683327004128,jetson,int8,logitKD
