device,precision,variant,pathology,threshold,sensitivity,specificity,youden_j,tp,fp,tn,fn,ppv,npv,n_pos,n_neg
jetson,fp16,featureKD,Cardiomegaly,0.19544048607349396,0.8529411764705882,0.6445783132530121,0.4975194897236004,58,59,107,10,0.49572649572649574,0.9145299145299145,68,166
jetson,fp16,featureKD,Edema,0.35734322667121887,0.8444444444444444,0.8359788359788359,0.6804232804232804,38,31,158,7,0.5507246376811594,0.9575757575757575,45,189
jetson,fp16,featureKD,Consolidation,0.3008482754230499,0.9696969696969697,0.7263681592039801,0.6960651289009498,32,55,146,1,0.367816091954023,0.9931972789115646,33,201
jetson,fp16,featureKD,Atelectasis,0.3812771439552307,0.7875,0.7077922077922078,0.49529220779220773,63,45,109,17,0.5833333333333334,0.8650793650793651,80,154
jetson,fp16,featureKD,Pleural Effusion,0.38635820150375366,0.7910447761194029,0.8622754491017964,0.6533202252211994,53,23,144,14,0.6973684210526315,0.9113924050632911,67,167
jetson,fp16,featureHardKD,Cardiomegaly,0.19329962134361267,0.6617647058823529,0.8012048192771084,0.46296952515946144,45,33,133,23,0.5769230769230769,0.8525641025641025,68,166
jetson,fp16,featureHardKD,Edema,0.27581191062927246,0.8666666666666667,0.8518518518518519,0.7185185185185186,39,28,161,6,0.582089552238806,0.9640718562874252,45,189
jetson,fp16,featureHardKD,Consolidation,0.18653921782970428,0.9393939393939394,0.7213930348258707,0.66078697421981,31,56,145,2,0.3563218390804598,0.9863945578231292,33,201
jetson,fp16,featureHardKD,Atelectasis,0.2507292926311493,0.775,0.6623376623376623,0.43733766233766236,62,52,102,18,0.543859649122807,0.85,80,154
jetson,fp16,featureHardKD,Pleural Effusion,0.2624635696411133,0.8955223880597015,0.7724550898203593,0.6679774778800609,60,38,129,7,0.6122448979591837,0.9485294117647058,67,167
jetson,int8,baseline,Cardiomegaly,0.25922974944114685,0.5441176470588235,0.7831325301204819,0.32725017717930527,37,36,130,31,0.5068493150684932,0.8074534161490683,68,166
jetson,int8,baseline,Edema,0.2699795067310333,0.7555555555555555,0.8201058201058201,0.5756613756613755,34,34,155,11,0.5,0.9337349397590361,45,189
jetson,int8,baseline,Consolidation,0.1995416134595871,0.7878787878787878,0.5920398009950248,0.3799185888738128,26,82,119,7,0.24074074074074073,0.9444444444444444,33,201
jetson,int8,baseline,Atelectasis,0.19828210771083832,0.775,0.4805194805194805,0.2555194805194805,62,80,74,18,0.43661971830985913,0.8043478260869565,80,154
jetson,int8,baseline,Pleural Effusion,0.3543165922164917,0.7611940298507462,0.7604790419161677,0.521673071766914,51,40,127,16,0.5604395604395604,0.8881118881118881,67,167
jetson,int8,logitKD,Cardiomegaly,0.17834363877773285,0.7941176470588235,0.608433734939759,0.4025513819985824,54,65,101,14,0.453781512605042,0.8782608695652174,68,166
jetson,int8,logitKD,Edema,0.32363203167915344,0.8888888888888888,0.7883597883597884,0.6772486772486772,40,40,149,5,0.5,0.9675324675324676,45,189
jetson,int8,logitKD,Consolidation,0.3681497275829315,0.8181818181818182,0.7661691542288557,0.5843509724106739,27,47,154,6,0.36486486486486486,0.9625,33,201
jetson,int8,logitKD,Atelectasis,0.41708433628082275,0.75,0.7077922077922078,0.45779220779220786,60,45,109,20,0.5714285714285714,0.8449612403100775,80,154
jetson,int8,logitKD,Pleural Effusion,0.475142240524292,0.7910447761194029,0.844311377245509,0.6353561533649119,53,26,141,14,0.6708860759493671,0.9096774193548387,67,167
jetson,int8,featureKD,Cardiomegaly,0.44835028052330017,0.7794117647058824,0.6506024096385542,0.43001417434443656,53,58,108,15,0.4774774774774775,0.8780487804878049,68,166
jetson,int8,featureKD,Edema,0.5387011766433716,0.7777777777777778,0.8095238095238095,0.5873015873015874,35,36,153,10,0.49295774647887325,0.9386503067484663,45,189
jetson,int8,featureKD,Consolidation,0.4093344807624817,0.7272727272727273,0.7661691542288557,0.4934418815015831,24,47,154,9,0.3380281690140845,0.9447852760736196,33,201
jetson,int8,featureKD,Atelectasis,0.20557327568531036,0.925,0.43506493506493504,0.3600649350649352,74,87,67,6,0.45962732919254656,0.9178082191780822,80,154
jetson,int8,featureKD,Pleural Effusion,0.5332512259483337,0.8059701492537313,0.7485029940119761,0.5544731432657075,54,42,125,13,0.5625,0.9057971014492754,67,167
jetson,int8,featureHardKD,Cardiomegaly,0.21598422527313232,0.8235294117647058,0.536144578313253,0.35967399007795886,56,77,89,12,0.42105263157894735,0.8811881188118812,68,166
jetson,int8,featureHardKD,Edema,0.23697355389595032,0.8444444444444444,0.7301587301587301,0.5746031746031746,38,51,138,7,0.42696629213483145,0.9517241379310345,45,189
jetson,int8,featureHardKD,Consolidation,0.1813548058271408,0.9696969696969697,0.5870646766169154,0.5567616463138851,32,83,118,1,0.2782608695652174,0.9915966386554622,33,201
jetson,int8,featureHardKD,Atelectasis,0.3054129481315613,0.7,0.6753246753246753,0.3753246753246753,56,50,104,24,0.5283018867924528,0.8125,80,154
